investor_id|deal_id|current_investor_status|last_updated
100016-92|38060-47T|1|02/15/2017
100016-92|60771-43T|1|02/15/2017
100016-92|66418-84T|1|02/15/2017
100085-59|35728-30T|1|02/15/2017
100104-04|56345-23T|1|02/15/2017
100104-04|69992-20T|1|02/15/2017
100104-13|56345-23T|1|02/15/2017
10011-70|38918-08T|1|02/15/2017
10011-79|81554-68T|1|02/15/2017
10013-32|18824-41T|4|02/15/2017
10013-77|18834-40T|4|02/15/2017
100140-49|40342-33T|1|02/15/2017
10014-49|39608-47T|1|02/15/2017
10014-49|44456-23T|11|02/15/2017
10014-49|46948-15T|1|02/15/2017
10014-49|58183-39T|1|02/15/2017
10014-49|72212-14T|1|02/15/2017
10014-49|72886-06T|1|02/15/2017
10015-12|18408-97T|4|02/15/2017
10015-12|38008-90T|1|02/15/2017
100153-81|21981-97T|1|02/15/2017
100153-81|26664-04T|1|02/15/2017
100153-81|32943-61T|1|02/15/2017
100153-81|33054-49T|1|02/15/2017
100153-81|51950-98T|1|02/15/2017
100153-81|58752-37T|1|02/15/2017
100153-81|62570-71T|1|02/15/2017
100153-81|65870-83T|1|02/15/2017
100153-81|68219-02T|1|02/15/2017
100153-81|70336-18T|1|02/15/2017
100153-81|70337-26T|1|02/15/2017
10015-39|17174-35T|4|02/15/2017
10015-39|19928-89T|4|02/15/2017
10015-39|19928-98T|4|02/15/2017
10015-39|24402-16T|4|02/15/2017
100157-23|40106-98T|1|02/15/2017
100157-23|59351-86T|1|02/15/2017
10018-18|18486-91T|4|02/15/2017
10018-18|20683-54T|4|02/15/2017
10018-18|53592-94T|1|02/15/2017
10018-18|63736-21T|1|02/15/2017
10018-18|68838-13T|1|02/15/2017
10019-17|21272-41T|4|02/15/2017
10019-17|22417-03T|1|02/15/2017
100193-86|67366-09T|1|02/15/2017
10019-98|36442-63T|1|02/15/2017
10020-07|17598-43T|4|02/15/2017
10020-07|24671-71T|1|02/15/2017
10020-07|55922-32T|1|02/15/2017
100202-14|40152-34T|1|02/15/2017
100202-14|79703-92T|1|02/15/2017
100202-14|82339-21T|1|02/15/2017
100202-23|40152-34T|1|02/15/2017
100202-23|59290-57T|1|02/15/2017
100220-41|40176-55T|1|02/15/2017
10022-14|16391-62T|1|02/15/2017
10022-14|17221-15T|4|02/15/2017
10022-14|17471-08T|11|02/15/2017
10022-14|17902-81T|1|02/15/2017
10022-14|18054-55T|4|02/15/2017
10022-14|18775-72T|1|02/15/2017
10022-14|19431-73T|1|02/15/2017
10022-14|19814-68T|11|02/15/2017
10022-14|20244-61T|1|02/15/2017
10022-14|20246-32T|4|02/15/2017
10022-14|20258-92T|1|02/15/2017
10022-14|20794-60T|1|02/15/2017
10022-14|21967-75T|1|02/15/2017
10022-14|22010-86T|4|02/15/2017
10022-14|23516-83T|1|02/15/2017
10022-14|23706-10T|1|02/15/2017
10022-14|23923-90T|1|02/15/2017
10022-14|24539-68T|11|02/15/2017
10022-14|26644-78T|4|02/15/2017
10022-14|27218-44T|4|02/15/2017
10022-14|27732-07T|1|02/15/2017
10022-14|28135-00T|1|02/15/2017
10022-14|28933-93T|1|02/15/2017
10022-14|30306-25T|1|02/15/2017
10022-14|30919-24T|4|02/15/2017
10022-14|32848-21T|1|02/15/2017
10022-14|33435-19T|1|02/15/2017
10022-14|34782-31T|1|02/15/2017
10022-14|35015-95T|1|02/15/2017
10022-14|35507-71T|1|02/15/2017
10022-14|38723-41T|1|02/15/2017
10022-14|39629-17T|1|02/15/2017
10022-14|39636-55T|1|02/15/2017
10022-14|44873-38T|1|02/15/2017
10022-14|45858-16T|1|02/15/2017
10022-14|47956-87T|1|02/15/2017
10022-14|55671-67T|1|02/15/2017
10022-14|60905-98T|1|02/15/2017
10022-14|67466-89T|1|02/15/2017
10022-14|75285-37T|1|02/15/2017
10022-14|75686-23T|1|02/15/2017
10022-14|78637-42T|1|02/15/2017
10022-14|81003-34T|1|02/15/2017
10023-13|37981-63T|1|02/15/2017
10023-13|73281-34T|1|02/15/2017
100236-61|40194-73T|1|02/15/2017
100236-79|68571-10T|1|02/15/2017
100240-93|55135-99T|1|02/15/2017
10024-75|63736-21T|1|02/15/2017
10024-93|53933-32T|1|02/15/2017
10025-47|20123-02T|4|02/15/2017
10025-47|49107-70T|1|02/15/2017
10025-47|57559-51T|4|02/15/2017
10026-64|21268-54T|1|02/15/2017
10026-91|22417-03T|1|02/15/2017
10026-91|29428-93T|1|02/15/2017
10026-91|34268-23T|1|02/15/2017
100280-98|36688-60T|1|02/15/2017
100287-01|40250-80T|1|02/15/2017
10028-71|63736-21T|1|02/15/2017
