deal_id|company_id|deal_number|deal_date|deal_status|deal_size|last_updated
58843-18T|100003-15|2|10/07/2015|11|1.4|02/15/2017
40413-79T|100006-93|1|12/03/2012|11|0.8|02/15/2017
51424-75T|100006-93|2|12/01/2014|11|0.63|02/15/2017
39956-68T|100007-11|1|11/24/2014|11|2.0|02/15/2017
54708-85T|100022-14|3|02/10/2016|11|1.18|02/15/2017
39974-14T|100024-12|1|04/09/2015|11|2.2|02/15/2017
72405-01T|100024-12|3|11/16/2016|11||02/15/2017
40366-90T|100026-55|1|09/07/2011|11|1.3|02/15/2017
40136-77T|100044-73|1|07/28/2014|11|0.75|02/15/2017
46187-65T|100059-67|1|12/01/2014|11|0.18|02/15/2017
46184-41T|100060-39|2|12/03/2014|11|1.4|02/15/2017
46186-30T|100076-77|1|12/03/2014|11|2.3|02/15/2017
40035-25T|100077-31|1|02/01/2014|11|0.25|02/15/2017
40035-97T|100077-31|2|12/02/2014|11|0.76|02/15/2017
58400-74T|100077-31|3|09/10/2015|11|2.0|02/15/2017
40050-64T|100077-85|1|12/02/2014|11|4.5|02/15/2017
46819-09T|100079-92|1|05/01/2012|11|0.14|02/15/2017
46821-07T|100079-92|4|03/11/2015|11|0.5|02/15/2017
49831-48T|100080-91|1|09/19/2013|11|0.14|02/15/2017
40053-25T|100097-02|1|12/03/2014|11|0.85|02/15/2017
40056-49T|100100-26|1|12/07/2012|11|0.49|02/15/2017
40056-31T|100100-26|2|07/02/2013|11|2.0|02/15/2017
48482-38T|100117-36|2|01/15/2015|11|0.62|02/15/2017
47749-69T|100119-97|1|02/18/2009|11|1.65|02/15/2017
51351-58T|100122-67|2|09/16/2011|11|2.7|02/15/2017
51351-40T|100122-67|3|08/07/2012|11|1.1400000000000001|02/15/2017
51351-49T|100122-67|4|10/23/2012|11||02/15/2017
49778-65T|100124-56|1|07/10/2007|11|0.25|02/15/2017
49778-74T|100124-56|2|01/16/2013|11|0.2|02/15/2017
49271-05T|100126-18|2|02/15/2008|11|0.75|02/15/2017
40109-32T|100126-90|1|12/03/2014|11||02/15/2017
49274-74T|100131-31|1|04/19/2007|11|0.5|02/15/2017
45700-39T|100136-53|1|05/30/2014|11|1.0|02/15/2017
45700-48T|100136-53|2|06/13/2014|11|6.5|02/15/2017
40096-81T|100140-94|1|12/02/2014|11|2.76|02/15/2017
68122-63T|100140-94|2|03/29/2016|11|10.0|02/15/2017
75228-40T|100141-12|1|01/22/2013|11|3.45|02/15/2017
46181-89T|100146-97|1|01/01/2013|11|0.5|02/15/2017
46182-25T|100146-97|2|12/03/2014|11|1.0|02/15/2017
40102-30T|100151-38|1|10/03/2014|11|0.45|02/15/2017
40102-75T|100151-47|2|10/12/2016|11|10.0|02/15/2017
40102-84T|100151-92|1|09/15/2014|11|1.0|02/15/2017
55618-84T|100151-92|2|08/17/2015|11|9.0|02/15/2017
40102-93T|100152-28|1|09/08/2014|11|0.38|02/15/2017
40133-35T|100152-46|1|03/24/2014|11|1.2|02/15/2017
40103-11T|100152-46|2|08/27/2014|11|2.0|02/15/2017
50033-89T|100152-46|3|05/06/2015|11|1.0|02/15/2017
65699-83T|100152-46|4|02/02/2016|11|6.0|02/15/2017
40104-01T|100153-45|1|05/07/2014|11|1.1|02/15/2017
