investor_id|investor_name|familiar_name|previous_name|last_updated
100016-92|Investor 1|||42781
100085-59|Investor 2|||42781
100104-04|Investor 3|||42781
100104-13|Investor 4|||42781
10011-70|Investor 5|||42781
10011-79|Investor 6|||42781
10013-32|Investor 7|||42781
10013-77|Investor 8|||42781
100140-49|Investor 9|||42781
10014-49|Investor 10|||42781
10015-12|Investor 11|||42781
100153-81|Investor 12|||42781
10015-39|Investor 13|||42781
100157-23|Investor 14|||42781
10018-18|Investor 15|||42781
10019-17|Investor 16|||42781
100193-86|Investor 17|||42781
10019-98|Investor 18|||42781
10020-07|Investor 19|||42781
100202-14|Investor 20|||42781
100202-23|Investor 21|||42781
100220-41|Investor 22|||42781
10022-14|Investor 23|||42781
10023-13|Investor 24|||42781
100236-61|Investor 25|||42781
100236-79|Investor 26|||42781
100240-93|Investor 27|||42781
10024-75|Investor 28|||42781
10024-93|Investor 29|||42781
10025-47|Investor 30|||42781
10026-64|Investor 31|||42781
10026-91|Investor 32|||42781
100280-98|Investor 33|||42781
100287-01|Investor 34|||42781
10028-71|Investor 35|||42781
10028-80|Investor 36|||42781
10029-07|Investor 37|||42781
100296-28|Investor 38|||42781
100312-57|Investor 39|||42781
100328-50|Investor 40|||42781
100338-31|Investor 41|||42781
10034-56|Investor 42|||42781
100348-21|Investor 43|||42781
100352-89|Investor 44|||42781
10035-46|Investor 45|||42781
100370-71|Investor 46|||42781
100370-80|Investor 47|||42781
10037-35|Investor 48|||42781
100374-22|Investor 49|||42781
10037-80|Investor 50|||42781
10038-79|Investor 51|||42781
10039-51|Investor 52|||42781
10041-22|Investor 53|||42781
10042-21|Investor 54|||42781
10042-84|Investor 55|||42781
10043-83|Investor 56|||42781
100439-92|Investor 57|||42781
10045-81|Investor 58|||42781
10045-90|Investor 59|||42781
10046-26|Investor 60|||42781
100464-85|Investor 61|||42781
100465-03|Investor 62|||42781
10047-34|Investor 63|||42781
10048-15|Investor 64|||42781
10048-33|Investor 65|||42781
10049-14|Investor 66|||42781
10050-31|Investor 67|||42781
10051-21|Investor 68|||42781
10052-20|Investor 69|||42781
100530-01|Investor 70|||42781
100532-62|Investor 71|||42781
10054-09|Investor 72|||42781
100554-04|Investor 73|||42781
100556-83|Investor 74|||42781
100566-73|Investor 75|||42781
10056-79|Investor 76|||42781
10057-69|Investor 77|||42781
100582-75|Investor 78|||42781
